"type","sub_type","sqft","baths","beds","stories","year_built","listPrice"
"single_family",,"1830","2","3",,"2025","329990"
"land",,,"0",,,,"594000"
"single_family",,"1024","1","1",,"1897","68400"
"condos","condo","651","1","1","1","1952","299000"
"single_family",,"3000","3","3",,"1983","114750"
"single_family",,"1700","2","3","1","1970","199900"
"land",,,"0",,,,"90000"
"single_family",,"1244","2","3","1","2017","309500"
"condos","condo","1250","2","2","1","1994","315000"
"single_family",,"5385","6","5","3","2014","3950000"
"townhomes","townhouse","1266","2","2","1","1988","245000"
"single_family",,"1904","5","4","2","1996","825000"
"single_family",,"1543","2","3","1","1996","239900"
"single_family",,"1561","2","3","1","1900","220000"
"condos","condo","1342","3","3","1","1995","499900"
"land",,,"0",,,,"51000"
"condos","condo","755","2","2","1","1980","105000"
"single_family",,"1408","2","2","1",,"310000"
"single_family",,"2357","3","4","1","1960","288000"
"single_family",,"1833","2","4",,"1940","190000"
"single_family",,,"3","4","2","1986","275000"
"land",,,"0",,,,"100000"
"single_family",,"955","1","2","1","1950","145000"
"single_family",,"2023","2","3","2","1990","265000"
"single_family",,"2200","2","3","2","1986","275000"
"single_family",,"2881","3","4","1","1987","389900"
"single_family",,"1672","2","3","1",,"302900"
"single_family",,"2065","2","3","1","2014","375000"
"single_family",,"1138","5","3","1","1984","161900"
"single_family",,"2312","3","4","1","1989","378000"
"single_family",,"2800","2","4","2","1900","440000"
"single_family",,"1138","2","3","1","1968","64900"
"single_family",,"2594","3","4","1","1968","295000"
"single_family",,"1161","2","3",,"1978","199900"
"single_family",,"1130","2","3",,"1983","165000"
"single_family",,"3215","4","4","1","1980","860000"
"single_family",,"1449","2","3","1","1992","239900"
"land",,,"0",,,,"130000"
"single_family",,"5000","6","4",,"1998","3600000"
"single_family",,"3448","3","4","2",,"794900"
"single_family",,"5543","7","8","2","2024","569900"
"single_family",,"864","2","2","1","2025","219000"
"land",,,,,,,"74998"
"single_family",,"3174","3","5","1","1968","405000"
"single_family",,"1509","2","2","1","1986","179900"
"single_family",,"1514","2","3","1","2007","195000"
"single_family",,"1128","1","3","1","1958","99900"
"single_family",,"2967",,"4","2",,"397990"
"single_family",,"1808",,"3","2",,"297990"
"single_family",,"2080","2","3","1","1999","425000"
"single_family",,"1667","3","3","2","1991","270000"
"single_family","co_op","2667","2","3",,"1939","220000"
"single_family",,"2671","3","3","1","2008","1450000"
"condos","condo","1038","1","2","1","1958","219900"
"single_family",,"1235","2","3","1",,"199900"
"single_family",,"2225","3","3","2","2022","307000"
"single_family",,"2216","2","4",,"1952","109000"
"single_family",,"1492","2","3","1","1997","268000"
"single_family",,"2250","2","3","1","2002","575000"
"single_family",,"2317","3","5","2",,"284900"
"single_family",,"950","1","2","1",,"120000"
"single_family",,"1500","1","4","1",,"65000"
"single_family",,"2432","2","5","2","1955","349900"
"single_family",,"872","1","2",,"1959","139000"
"single_family",,"1926","3","3","2","1980","229900"
"land",,,,,,,"45900"
"single_family",,"1781","3","4","2","2025","309311"
"single_family",,"1498","3","3","1","1968","265000"
"single_family",,"1483","2","3","1","2006","259900"
"land",,,"0",,,,"20500"
"land",,,"0",,,,"56320"
"single_family",,,"2","3","1","2025","249900"
"single_family",,"624","1","1",,"1907","110000"
"single_family",,"2397","3","5","2","2005","265000"
"single_family",,"2181","2","3","1","1960","249900"
"single_family",,"1400","2","3","1","1972","199000"
"single_family",,"3599","3","3","1","1987","685000"
"single_family",,"1174","1","2",,"1932","129000"
"single_family",,"2168","3","4","2","2010","369900"
"single_family",,"1710","2","3",,"1958","180000"
"single_family",,"998","1","2","1","1946","205000"
"condos","condo","1300","2","3",,"1982","119990"
"single_family",,"1769","2","3","1","1987","345000"
"single_family",,"1960","2","3","2",,"340000"
"land",,,,,,,"129000"
"land",,,"0",,,,"7000"
"single_family",,"2900","4","4","2","1994","465000"
"townhomes","townhouse","1334","3","2","2","1984","570000"
"single_family",,"1247","2","2",,,"385000"
"single_family",,"1110","1","2",,"1915","125000"
"condos","condo","760","2","1","1","1989","115000"
"farm",,"2893","2","4","2","1941","600000"
"single_family",,"2100","2","2","1",,"349000"
"townhomes","townhouse","1272","2","2","1","2007","375000"
"single_family",,"2007","3","4","2","1992","469000"
"single_family",,"1556","2","3",,,"750000"
"single_family",,"1828","3","3","2",,"314500"
"single_family",,"4052","5","6","2","2017","800000"
"single_family",,"1227","2","3","1","1967","239900"
"single_family",,"1186","2","3","1","1900","190000"
"single_family",,"1038","2","2","1","1962","95000"
"single_family",,"2339","3","4","1","2025","358490"
"single_family",,"2083","2","4","2","1938","285000"
"single_family",,"2218","3","3",,"2025","499999"
"single_family",,"2608","3","4","2","1972","319900"
"single_family",,"1840","3","3","2","1977","1750000"
"single_family",,"4781","6","6","1","1995","995000"
"single_family",,"1727","2","3","1","1969","275600"
"single_family",,"3000","3","5","2","2012","365000"
"single_family",,"4461","5","5",,"1989","805000"
"single_family",,"1766","2","4","1","1988","294000"
"single_family",,"3100","3","3","2","1900","424900"
"single_family",,"2506","2","3","1","1978","334900"
"single_family",,"1250","2","3",,"1970","144900"
"condos","condo","1403","2","2","1","2006","239900"
"single_family",,,"3","4","2","2025","362230"
"single_family",,"1544","2","3","1","1979","197000"
"townhomes",,"1674","3","3","2",,"229999"
"land",,,"0",,,,"22500"
"condos","condo","777","1","1","1","2000","250000"
"land",,,"0",,,,"75000"
"single_family",,,"2","3","1","1981","308000"
"land",,,"0",,,,"30000"
"land",,,"0",,,,"25000"
"condos","condo","1312","2","3","1","2001","299900"
"single_family",,"2300","2","4","1","1958","557900"
"land",,,"0",,,,"69000"
"land",,,"0",,,,"25000"
"single_family",,"2648","3","5","2","2020","435000"
"single_family",,"1001","1","2","1","1950","350000"
"land",,,"0",,,,"300000"
"single_family",,"1118","1","3","1",,"120000"
"land",,,"0",,,,"35000"
"land",,,,,,,"49000"
"land",,,,,,,"17500"
"condos","condo","2337","3","4","1","2007","425000"
"single_family",,"2511","4","5","2","2022","357500"
"land",,,,,,,"298000"
"single_family",,"2906","3","3",,"1999","484999"
"land",,,"0",,,,"35000"
